,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Adventure,"Village, pillage and exploration",Adventure,,Either kill or get killed by a mob,-,
1,I hereby dub thee...,Obtain a name tag,Adventure,Adventure,,-,
2,I just want to make toast!,Name a bunny 'Toast',Adventure,I hereby dub thee...,,-,
3,"What's Up, Doc?",Turn a mob upside-down,Adventure,I just want to make toast!,Name any mob 'Dinnerbone' or 'Grumm' with a nametag,-,
4,Nyan Sheep,Nyan Nyan Nyan Nyan...,Adventure,"What's Up, Doc?",Name a sheep 'jeb_' with a nametag,-,
5,Slenderman,Defeat this terrifying monster,Adventure,Nyan Sheep,Defeat an Enderman named 'Slenderman',-,
6,The one and true Johnny,Defeat Johnny,Adventure,Slenderman,Defeat a Vindicator named 'Johnny',-,
7,Nerds Never Die,Name a Piglin Brute 'Technoblade',Adventure,The one and true Johnny,,-,May he rest in peace
8,Beethoven,Craft a jukebox with planks and a diamond,Adventure,I hereby dub thee...,Obtain a jukebox,-,
9,Music To My Ears,Play a music disc in a jukebox,Adventure,Beethoven,,-,
10,The Sound of Music,Make the Meadows come alive with the sound of music from a jukebox,Adventure,Music To My Ears,Play any music disc in a jukebox while you are in a Meadows biome,-,
11,Disc Jockey,Listen to all the music discs,Adventure,The Sound of Music,Play the following music discs in a jukebox:,-,
12,Overpowered,Obtain a Notch Apple,Adventure,Disc Jockey,,-,
13,Now You’re Thinking With Portals,Find a broken Nether Portal in the Overworld,Adventure,Adventure,Stand in a Ruined Portal in the Overworld,-,
14,Grave Robber,Enter a pyramid in a desert,Adventure,Now You’re Thinking With Portals,,-,
15,Tomb Raider,Enter a jungle temple,Adventure,Grave Robber,,-,
16,Witchcraft,Find a witch hut in a swamp,Adventure,Tomb Raider,,-,
17,Secret of the Igloo,Find an igloo in a snowy tundra,Adventure,Witchcraft,,-,
18,Raidin' Master,Discover every structure type,Adventure,Secret of the Igloo,Enter the following structures:,-,
19,Brushed Away,"Craft a Brush using a feather, copper and a stick",Adventure,Grave Robber,Obtain a Brush,-,
20,Respecting the Remnants,"Using a Brush, carefully excavate a Pottery Sherd from a suspicious block",Adventure,Brushed Away,,-,"Known as ""Archaeologist"" until 1.16 Beta Build 3"
21,Careful Restoration,Put together a Decorated Pot using four Pottery Sherds,Adventure,Respecting the Remnants,Craft a Decorated Pot using four Pottery Sherds,-,
22,Pottery Exhibition,Find one of each type of Pottery Sherd throughout your archaeology expeditions,Adventure,Careful Restoration,Obtain the following Pottery Shards:,-,
23,A Suspicious Advancement,Obtain a block of Suspicious Sand or Suspicious Gravel,Adventure,Careful Restoration,This can be done by having a sus block fall into a line of cobwebs. After a minute the falling block entity will despawn and drop the sus block as an item,-,
24,sus,Obtain a stack of Suspicious Sand and Suspicious Gravel,Adventure,A Suspicious Advancement,,true,
25,Life… uhh… finds a way,Find a strange egg among the sand of an Ocean Ruin using a Brush. Smells interesting,Adventure,Brushed Away,Obtain a Sniffer Egg,-,"Known as ""Smells Interesting"" in vanilla"
26,Truffle Worm,Have a Sniffer dig up seeds,Adventure,Life… uhh… finds a way,Obtain Torchflower Seeds or Pitcher Pod,-,
27,Jurassic Sniff,Breed two Sniffers together using Torchflower Seeds,Adventure,Truffle Worm,,-,
28,Little Sniffs,Feed a Snifflet,Adventure,Jurassic Sniff,Feed a baby Sniffer with Torchflower Seeds,-,
29,Planting the Past,Plant any Sniffer Seed,Adventure,Little Sniffs,Plant a Torchflower Seed or Pitcher Pod,-,
30,Happy Trails!,Discover the Trail Ruins,Adventure,Brushed Away,Enter a Trail Ruins structure,-,
31,Raiders of the Lost Trim,Carefully excavate a Smithing Template from the Trail Ruins,Adventure,Happy Trails!,"Obtain one of: Wayfinder, Raiser, Shaper or Host Armor Trim Smithing Templates",-,
32,A Chiptune Relic,Excavate an ancient record from within the Trail Ruins,Adventure,Raiders of the Lost Trim,Obtain the Relic Music Disc,-,
33,Good-Lookin’ Treasure,Find a Smithing Template,Adventure,Tomb Raider,Obtain any Smithing Template,-,
34,Crafting a New Look,Use a Smithing Template to apply a trim to a piece of armor,Adventure,Good-Lookin’ Treasure,Take a trimmed piece of armor from the output of a Smithing Table,-,"Known as ""Just a Trim?"" until 1.16 Beta Build 3"
35,Mold Maker,Use seven diamonds to duplicate a Smithing Template,Adventure,Crafting a New Look,Take a Smithing Template from the output of the crafting table.,-,
36,Coordinated Flair,Wear a suit of armor with all four pieces trimmed with the same material,Adventure,Mold Maker,,-,
37,Chromatic Armory,Trim pieces of armor with all types of materials,Adventure,Coordinated Flair,Use the following materials in trimming armor: ,-,
38,Genesis of the End,Find the Eye Smithing Template in a Stronghold,Adventure,Good-Lookin’ Treasure,Obtain an Eye Armor Trim Smithing Template,-,
39,Vexingly Hard to Find,Find the Vex Smithing Template in a Woodland Mansion,Adventure,Genesis of the End,Obtain a Vex Armor Trim Smithing Template,-,
40,The Sound of Silence,Find the Silence Smithing Template in an Ancient City,Adventure,Vexingly Hard to Find,Obtain a Silence Armor Trim Smithing Template,-,
41,Smithing With Style,Apply every type of armor trim at least once,Adventure,The Sound of Silence,Obtain the following Smithing Templates:,-,"Known as ""Designer Collection"" until 1.16 Beta Build 3"
42,Stacked Smither,Obtain a stack of every Smithing Template,Adventure,Smithing With Style,Obtain a stack of the same items as in Smithing With Style (see below),true,
43,Out of Posts,Enter a Pillager Outpost,Adventure,Adventure,,-,
44,Riot Shield,Deflect a Pillager's crossbow bolt,Adventure,Out of Posts,,-,
45,Redemption Arc,Befriend a Pillager that doesn’t have a crossbow,Adventure,Riot Shield,Be within 5 blocks of a Pillager that is not holding a crossbow,-,
46,I've got a bad feeling about this,Kill a raid captain. I’d warn against drinking that bottle they dropped…,Adventure,Riot Shield,Kill a raid captain,-,"Known as ""Illagers on Patrol"" in early 1.6 Beta Builds, then ""Voluntary Exile"" until 1.7"
47,We're being attacked!,Trigger a Pillager Raid,Adventure,I've got a bad feeling about this,Trigger a raid,-,
48,Sound the Alarm!,Ring the bell with a hostile enemy in the village,Adventure,We're being attacked!,Ring a bell while at least one illager that is part of a raid is within 32 blocks of you,-,
49,It's So Beast-Like!,Slay a Ravager in a raid,Adventure,Sound the Alarm!,Kill a Ravager,-,
50,"I am Ravager, hear me ROAR!",Have a Ravager slam into your shield,Adventure,It's So Beast-Like!,Block a Ravager's attack,-,"Known as ""How to stop a rhino from charging"" until 1.9"
51,Picador,Hit a Ravager with a thrown trident,Adventure,"I am Ravager, hear me ROAR!",,-,
52,Feeling Ill,Defeat every type of Illager as part of a raid,Adventure,It's So Beast-Like!,"Kill a Pillager, Vinidicator, Witch, Evoker and Ravager as part of a raid",-,
53,Hero of the Village,Triumph over a full raid for the first time,Adventure,Feeling Ill,Get the Hero of the Village Effect,-,
54,Superhero of the Village,Defeat enough raid captains to obtain a stack of Ominous Banners,Adventure,Hero of the Village,Obtain 16 Ominous Banners,-,
55,Justice,"Kill a Pillager, Vindicator, Evoker, Ravager and Witch with a single crossbow arrow",Adventure,Superhero of the Village,,-,
56,"Buy Low, Sell High",Trade with a villager while under the Hero of the Village effect,Adventure,Hero of the Village,,-,
57,Undying Fandom,Receive every type of gift from Villagers as a Hero of the Village,Adventure,"Buy Low, Sell High",Pick up the following items that were thrown by villagers:,-,
58,War is Coming,Start a Raid with the highest level of Bad Omen,Adventure,"Buy Low, Sell High",Get Raid Omen V,-,
59,Veteran of the Village,Attain the highest level of Hero of the Village,Adventure,War is Coming,Get Hero of the Village V,-,
60,Allayance,Rescue an Allay from a Pillager Outpost or Woodland Mansion and give it something to play with,Adventure,Out of Posts,Right-click an Allay with an item,-,
61,You’ve Got a Friend in Me,Have an Allay deliver items to you,Adventure,Allayance,Pick up an item dropped by an Allay,-,
62,Evelyn Evergreen,Have an Allay deliver Spruce Saplings to you while chopping down trees,Adventure,You’ve Got a Friend in Me,Pick up Spruce Saplings that were dropped by an Allay,-,
63,Budget Vex,Give an Allay an Iron Sword,Adventure,Evelyn Evergreen,Right-click an Allay with an Iron Sword,-,
64,Diagon Allay,Have an Allay deliver a potion to you in the Deep Dark,Adventure,Budget Vex,Pick up a potion that was dropped by an Allay in the Deep Dark biome or an Ancient City,-,
65,And make it double!,"Play a jukebox near some Allays, then give one an Amethyst Shard and see what happens!",Adventure,Evelyn Evergreen,Duplicate an Allay by giving one an Amethyst Shard while a jukebox is playing nearby,-,
66,Birthday Song,Have an Allay drop a cake at a note block,Adventure,And make it double!,,-,
67,Awards Ceremony,Have an Allay present to you a trophy awarded from completing one of the advancements,Adventure,Birthday Song,Pick up a BACAP Trophy that was dropped by an Allay,true,
68,Travelling Merchant,Trade with a Wandering Trader,Adventure,Adventure,,-,
69,Shady Deals,Trade with a Wandering Trader while he is invisible,Adventure,Travelling Merchant,,-,
70,Florist,Trade for a flower from the Wandering Trader,Adventure,Travelling Merchant,,-,
71,Rebuilding the Oceans,Trade for a coral block from the Wandering Trader,Adventure,Florist,,-,
72,Deal's Off!,Get spat at by one of the Trader Llamas,Adventure,Rebuilding the Oceans,Get damaged by a Trader Llama,-,
73,Do You Want to Trade?,Find an NPC village,Adventure,Adventure,Enter a village,-,
74,"Oh, look, it dings!",Ring a bell in a village,Adventure,Do You Want to Trade?,Ring a bell that is within the bounding box of a village structure. Also works with Fortified Villages in Terralith,-,
75,Prime Specimen,Find Tall Grass or a Large Fern inside a village chest,Adventure,Do You Want to Trade?,Obtain Tall Grass or a Large Fern (double-tall grass or ferns),-,
76,What a Deal!,Successfully trade with a Villager,Adventure,Do You Want to Trade?,,-,
77,Crazy Cat Lady,Tame a stray cat in a village,Adventure,What a Deal!,,-,"""Lion Tamer"" - tame an ocelot - was removed in 1.6"
78,If only cats grew into kittens,Breed two cats together to get a kitty!,Adventure,Crazy Cat Lady,,-,
79,A Complete Catalogue,Tame all cat variants!,Adventure,If only cats grew into kittens,Tame the following Cat variants:,-,
80,Hired Help,Summon an Iron Golem to help defend a village,Adventure,What a Deal!,,-,"Known as ""Body Guard"" until 0.2"
81,Your Daily Fix,Use an Iron Ingot to repair a damaged Iron Golem,Adventure,Hired Help,,-,
82,MURDERER!,Kill a villager,Adventure,Your Daily Fix,,-,
83,Rekt!,Get killed by a natural iron golem defending its village,Adventure,MURDERER!,,-,
84,You are the Pillager,Murder one of every villager profession with a crossbow,Adventure,Rekt!,Murder the following Villager professions using a Crossbow:,-,
85,Filthy Rich,Make 64 emeralds,Adventure,What a Deal!,Obtain 64 Emeralds,-,
86,Filthy Stinkin' Rich,Make 64 emerald blocks,Adventure,Filthy Rich,Obtain 64 Emerald Blocks,-,
87,Hey! You two should kiss!,Use a Spyglass to look at two Villagers sitting in a Boat from at least 50 blocks away,Adventure,What a Deal!,Use a spyglass to look at a boat with two villager passengers in it,-,
88,Traveller,Travel to every type of village and trade with a villager in each,Adventure,What a Deal!,"Trade with a villager from: Plains, Desert, Savanna, Taiga and Snow",-,"Known as ""Travelling Merchant"" until 1.6"
89,Village Settler,Trade for a new bell to establish a new village,Adventure,Traveller,,-,
90,Town Planner,Craft and place every type of villager workstation,Adventure,Village Settler,Place the following blocks:,-,
91,Workaholic,Craft a stack of all the villager job site blocks,Adventure,Town Planner,"Obtain a stack of every block listed next to ""Town Planner"" above",-,
92,Professional,Trade with a villager at master level,Adventure,Traveller,,-,"Known as ""The Haggler"" until 1.12 Beta Build 1"
93,Businessman,Trade with every type of villager career,Adventure,Professional,See requirement notes below,-,
94,The Tribal Villagers,Breed and trade with a jungle villager,Adventure,Businessman,,-,
