,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Biomes,All around the world!,Biomes,,Either kill or get killed by a mob,-,
1,"For you, my sweet",Pick a flower for someone special,Biomes,Biomes,Obtain any flower,-,
2,There's a zombie on the lawn,Find a sunflower plains,Biomes,"For you, my sweet",Enter a sunflower plains biome,-,
3,Enchanted Forest,Find a flower forest,Biomes,There's a zombie on the lawn,Enter a flower forest biome,-,
4,Pretty in Pink,Find a Cherry Grove,Biomes,Enchanted Forest,Enter a Cherry Grove biome,-,
5,Flower Power,Collect all types of flowers,Biomes,Pretty in Pink,Obtain the following items:,-,
6,Eyeball Forest,Obtain an Eyeblossom from a Pale Garden,Biomes,Enchanted Forest,Obtain either a Closed Eyeblossom or Open Eyeblossom,-,
7,Heart Breaker,Smash a Creaking Heart to destroy its Creaking,Biomes,Eyeball Forest,Destroy a Creaking Heart while it has an alive Creaking bound to it,-,
8,Resinance,Pick off a Resin Clump growing on the side of a Pale Oak tree,Biomes,Heart Breaker,Obtain a Resin Clump,-,
9,Fake Copper,Craft all forms of Resin Blocks and Resin Bricks,Biomes,Resinance,"Obtain: Block of Resin, Resin Bricks, Resin Brick Slab, Resin Brick Stairs, Resin Brick Walls, Chiseled Resin Bricks",-,
10,Pale in Comparison,Place a block of Pale Moss next to a block of regular Moss,Biomes,Heart Breaker,Can also place Moss next to Pale Moss. The blocks must be touching in any of the six directions,-,
11,Heart Transplanter,Place a Creaking Heart with the correct alignment between two Pale Oak Log blocks,Biomes,Pale in Comparison,,-,
12,"Le creak, c'est chic",Place fifty Creaking Hearts and inundate yourself with an absolute nightmare,Biomes,Heart Transplanter,Have 50 Creakings within 40 blocks of you,-,
13,The Mighty Jungle,Go for a safari in the jungle,Biomes,"For you, my sweet",Enter any jungle biome (including bamboo jungle biomes),-,
14,Tarzan,Swing (or climb) on some vines,Biomes,The Mighty Jungle,Enter a vine block,-,
15,Lion Hunter,Feed an Ocelot fish to try and gain its trust,Biomes,Tarzan,,-,"The spiritual successor to ""Lion Tamer"""
16,Simba,Breed a baby ocelot,Biomes,Lion Hunter,,-,"""Lion Tamer"" - Tame an ocelot - was removed in 1.6"
17,Bamboom!,Break down some bamboo,Biomes,Tarzan,Obtain bamboo,-,
18,Construction Worker,Craft and use some scaffolding,Biomes,Bamboom!,Place scaffolding,-,
19,Top of the World,Place scaffolding to the world limit,Biomes,Construction Worker,Place scaffolding at y=319 in the Overworld or y=255 in the Nether or End,-,
20,Zoologist,Breed two pandas to get a baby panda,Biomes,Construction Worker,,-,
21,Kung Fu Panda!,Get beaten up by an angry panda,Biomes,Zoologist,Get killed by a panda,-,
22,Edge of the Jungle,Enter a Modified Jungle Edge - the rarest biome in Minecraft,Biomes,Kung Fu Panda!,,true,"Originally added in 1.10 Beta Build 6, then removed in 1.10 Beta Build 9"
23,Qinling,Breed a rare brown panda,Biomes,Zoologist,Breed two pandas and have the offspring be a brown panda,-,
24,Pandamonium,Feed cake to every type of panda,Biomes,Qinling,Have all seven panda personalities pick up cake that you dropped on the ground,-,
25,Smooth Operator,Slip and slide on some ice,Biomes,Biomes,Step on ice,-,
26,This Snow is Snowier,Fall into some Powder Snow,Biomes,Smooth Operator,Enter a block of powder snow,-,
27,Light as a Rabbit,Walk on Powder Snow… without sinking in it,Biomes,This Snow is Snowier,Walk on powder snow while wearing Leather Boots,-,
28,Captain America,Get completely frozen inside two blocks of Powder Snow for a loooong time. Big question is: Can you do this all day?,Biomes,Light as a Rabbit,"For 20 minutes in a row, stand inside two blocks of Powder Snow (one at your feet, one at your head) without wearing any leather armor (such that you're taking damage from freezing)",-,
29,Powder-full,Pick up some Powder Snow in a Bucket,Biomes,This Snow is Snowier,,-,
30,Thin Ice!,Use a silk touch pickaxe to pick up some ice blocks,Biomes,Powder-full,Obtain ice,-,
31,Spike Ice!,Break down an ice spike using a silk touch pickaxe,Biomes,Thin Ice!,Obtain packed ice,-,
32,Thick Ice!,Craft or mine a blue ice block from an iceberg,Biomes,Spike Ice!,Obtain blue ice,-,
33,Everybody Loves Ice!,Obtain a stack of every type of ice in your inventory,Biomes,Thick Ice!,"Obtain 64 ice, 64 packed ice, and 64 blue ice",-,
34,Barbearian,"It may be illegal to hunt polar bears in real life, but not in Minecraft",Biomes,Thin Ice!,Kill a polar bear,-,"Known as ""Eskimo"" until 1.11.2"
35,We’re Going on a Bear Hunt,Get hunted by a Polar Bear,Biomes,Barbearian,Get killed by a polar bear,-,
36,Just Keep Swimming,Go for a swim,Biomes,Biomes,Enter water,-,
37,The sea calls you...,Find an ocean,Biomes,Just Keep Swimming,Enter any ocean biome (See note 8),-,
38,Boaty McBoatface,Craft and ride a boat to sail on the high seas,Biomes,The sea calls you...,Enter a boat or chest boat,-,
39,Dive Bomb,Dive into water from a cliff at least 50 blocks tall,Biomes,Boaty McBoatface,Fall at least 50 blocks and land in water,-,
40,Free Diver,Stay underwater for 2 minutes,Biomes,Dive Bomb,See warning below,-,
41,Sleep with the Fishes,Spend a day underwater,Biomes,Free Diver,See warning below,-,
42,Cargo Carrier,Ride a Boat with a Chest in it,Biomes,Boaty McBoatface,Enter a chest boat,-,
43,Flipper,Give a Dolphin something to play with,Biomes,Cargo Carrier,Have a Dolphin nudge an item that you threw,-,
44,Dolphin Dasher,Get a speed boost from your friendly underwater companions,Biomes,Flipper,Get the Dolphin's Grace effect,-,
45,Echolocation,Feed a dolphin fish to have it lead you to treasure,Biomes,Dolphin Dasher,,-,
46,So Long & Thanks For The Fish,Get murdered by dolphins,Biomes,Echolocation,,-,
47,The Great Blocky Reef,Come across a coral reef in the ocean,Biomes,Dolphin Dasher,Enter a Warm Ocean biome,-,
48,In a Pickle,Collect some sea pickles from a coral reef,Biomes,The Great Blocky Reef,Obtain sea pickles,-,
49,Just a sample,Collect some coral from a coral reef,Biomes,In a Pickle,"Obtain dead or living coral, coral fan or coral block in any color",-,
50,No Reefing!,"Collect all colors of coral blocks, plants and fans (including dead ones)",Biomes,Just a sample,Obtain the following items:,-,
51,Pushed Around,Enter a bubble column,Biomes,Echolocation,,-,
52,Atlantis?,Explore some Underwater Ruins,Biomes,Pushed Around,Enter an Ocean Ruin,-,
53,Ahoy!,Come across a sunken ship,Biomes,Atlantis?,,-,"At one point was ""Get ship-rekt!"""
54,Boatception,Get in a boat within a shipwreck,Biomes,Ahoy!,Start riding a boat that is inside a shipwreck,-,
55,Titanic,Find a shipwreck in an iceberg biome,Biomes,Boatception,Enter a Shipwreck in a Frozen Ocean or Deep Frozen Ocean biome,-,
56,X Marks the Spot,Use a treasure map to find Buried Treasure,Biomes,Ahoy!,Open a Buried Treasure chest for the first time,-,
57,Moskstraumen,Construct a Conduit in the ocean,Biomes,X Marks the Spot,,-,"Known as ""Power of the Ocean"" until 1.9, when it was renamed after its Bedrock counterpart"
58,Kilometre Walk,Travel at least 1000 blocks from the centre of the world in any direction. It's not that far in real life,Biomes,Biomes,Travel beyond 1000 or -1000 in the x or z direction,-,
59,Ten Thousand Blocks,"Travel at least 10,000 blocks from the centre of the world in any direction. A journey that long begins with a single step",Biomes,Kilometre Walk,Travel beyond 10000 or -10000 in the x or z direction,-,
60,Voyage,A hundred kilometres!,Biomes,Ten Thousand Blocks,Travel beyond 100000 or -100000 in the x or z direction,-,
61,One with the forest,Discover every forest biome,Biomes,Kilometre Walk,Enter the following biomes:,-,
62,Warm Feet,Discover every dry biome,Biomes,One with the forest,Enter the following biomes:,-,
63,Cold Feet,Discover every snowy biome,Biomes,Warm Feet,Enter the following biomes: ,-,"Formerly known as ""Snow Feet"" until 1.13 Alpha Build 1"
64,Overgrown!,Discover every overgrown biome,Biomes,Cold Feet,Enter the following biomes:,-,
65,High Feet,Discover every mountain biome,Biomes,Overgrown!,Enter the following biomes:,-,"Formerly known as ""Cold Feet"" until 1.13 Alpha Build 1"
66,Wet Feet,Discover every water biome,Biomes,High Feet,Enter the following biomes:,-,
67,Adventuring Time,Discover each type of surface biome in the Overworld,Biomes,Wet Feet,Enter at least one biome of the following categories:,-,
