,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Building,Your only limit is your imagination... and resources,Building,,Obtain a crafting table,-,
1,Your Door Was Locked,Craft a door to stop monsters from entering your house,Building,Building,Obtain any type of door (can be an iron door),-,
2,Cut In Half,Craft some slabs,Building,Your Door Was Locked,Obtain any kind of slab,-,
3,Stairs? NOOOOO!,Craft some stairs,Building,Cut In Half,Obtain any kind of stairs,-,
4,Slabs For Days,Craft every type of slab,Building,Stairs? NOOOOO!,Obtain the following slabs:,-,
5,"Ah, My Old Enemy...",Craft every type of stairs,Building,Slabs For Days,See requirement notes below,-,
6,Sweet dreams,Sleep in a bed to change your respawn point,Building,Your Door Was Locked,Sleep in a bed. You do not have to pass the night,-,
7,Change of Sheets,Dye your bed a different color than white,Building,Sweet dreams,Obtain a bed of any color other than white,-,
8,Rainbow Dreams,Craft every color of bed,Building,Change of Sheets,,-,
9,Insomniac,Go 30 days without sleep,Building,Rainbow Dreams,,-,
10,Ladder Climbers Inc.,Climb the ladder!,Building,Your Door Was Locked,Enter a ladder block,-,
11,It's a Trap!,Craft and place down a trapdoor,Building,Ladder Climbers Inc.,Place any type of trapdoor (can be an iron trapdoor),-,
12,Aaaaaand... OPEN!,Craft and place an iron door,Building,It's a Trap!,Place an iron door,-,
13,En Garde,Erect some fencing,Building,Your Door Was Locked,Place any type of fence (can be nether brick fence),-,
14,The Walls,Build some cobblestone walls,Building,En Garde,Place a cobblestone wall,-,
15,Crazy Walls,Craft every type of wall,Building,The Walls,"Obtain the following walls: Cobblestone, Mossy Cobblestone, Brick, Prismarine, Red Sandstone, Mossy Stone Brick, Granite, Stone Brick, Nether Brick, 
Andesite, Red Nether Brick, Sandstone, End Stone Brick, Diorite, Blackstone, Polished Blackstone, Polished Blackstone Brick, Cobbled Deepslate, 
Polished Deepslate, Deepslate Brick, Deepslate Tile, Mud Brick, Tuff, Polished Tuff, Tuff Brick, Resin Brick",-,
16,Stationary Storage,Craft and place down a chest for storing your items,Building,Your Door Was Locked,Place a Chest or Copper Chest,-,
17,Barrel Rider,Craft and place a barrel. Totally not for riding in,Building,Stationary Storage,Place a barrel,-,
18,Writer's Block,Craft a lectern using wooden slabs and a bookshelf then place it,Building,Barrel Rider,Place a lectern,-,"Known as ""Speech! Speech! Speech!"" until 1.7. Still referred to as such internally"
19,Shelf Expression,Fill a Chiseled Bookshelf with books,Building,Writer's Block,Place a book inside a Chiseled Bookshelf such that all slots become occupied,-,
20,Shelfception,Put a Shelf on a Shelf,Building,Shelf Expression,Put any kind of shelf in one of the slots of any kind of shelf,-,
21,Locked and Loaded,Swap your entire hotbar of items with a trio of powered Shelves,Building,Shelfception,,-,
22,It's a Sign!,Craft and place a sign,Building,Your Door Was Locked,Place any type of sign,-,
23,Hanging Around,Put up a Hanging Sign,Building,It's a Sign!,Place any type of hanging sign,-,
24,Sign Off,"Use honeycomb to wax a sign, setting its ink for eternity",Building,Hanging Around,Use honeycomb on any sign,-,
25,Colors of the Wind,Dye a sign with each color of dye,Building,Sign Off,Use all 16 dyes on any sign,-,
26,Help! I've been framed!,Craft an item frame for displaying your items,Building,It's a Sign!,Obtain an item frame,-,"Known as ""Display your items for all to see..."" until 1.8"
27,A Masterpiece!,Put up a painting,Building,Help! I've been framed!,Place a painting,-,
28,Art Gallery,Place every type of painting,Building,A Masterpiece!,Every painting is listed on Minecraft wiki at https://minecraft.wiki/w/Painting,-,
29,Raise the flag!,Craft and place a banner,Building,Help! I've been framed!,,-,
30,Prepare to meet your Loom!,Craft a loom with string and planks for creating your own banners,Building,Raise the flag!,Obtain a loom,-,
31,"No Banner, Only Color!",Craft all 16 banner colors,Building,Prepare to meet your Loom!,,-,
32,Fruit of the Looms,Obtain all the special banner patterns,Building,Prepare to meet your Loom!,Obtain the following banner patterns:,-,
33,Torched!,Light up the area with some torches,Building,Your Door Was Locked,Place a torch,-,
34,Camping Out,"Craft and place a campfire using some logs, sticks and coal",Building,Torched!,,-,
35,"Delicious, Hot Schmoes!",Place every type of cookable food on a campfire,Building,Camping Out,Place on a campfire:,-,
36,Spawn Camping,"Travel close to 0,0 coordinates and place down a campfire",Building,"Delicious, Hot Schmoes!","Place a campfire or soul campfire with x and z coordinates both being between -10 and 10, in any dimension",-,
37,Halloween!,Light up the area with jack o'lanterns!,Building,Torched!,Place a jack o' lantern,-,
38,"One Pickle, Two Pickle, Sea Pickle, Four",Place four sea pickles in a group underwater,Building,Halloween!,Place a sea pickle on top of three existing sea pickles to create a group of four,-,
39,Setting up the mood,Place a candle and light it using Flint and Steel,Building,"One Pickle, Two Pickle, Sea Pickle, Four",Light any type of candle or candle cake using either Flint and Steel or a Fire Charge,-,
40,The Ritual Begins,Get one stack of Black Candles,Building,Setting up the mood,,-,
41,Happy Birthday!,Place a candle on a cake,Building,Setting up the mood,,-,
42,Glowing!,Light up the area with glowstone,Building,Torched!,Place a glowstone block,-,
43,Shroom Lightyear,Light up the area with Shroomlight!,Building,Glowing!,Place a shroomlight,-,
44,Cerulean!,Light up the area with soul fire torches and soul fire lanterns!,Building,Shroom Lightyear,Place a soul fire torch and a soul fire lantern,-,
45,Incandescent!,Light up the area with all three hues of Froglight,Building,Cerulean!,"Place Ochre, Verdant and Pearlescent Froglights",-,
46,Festival of Lights,Light up the area using a lantern,Building,Torched!,Place a lantern,-,
47,Chartreuse!,Light up the area with Copper Torches and Copper Lanterns!,Building,Festival of Lights,Place a Copper Torch and any kind of Copper Lantern,-,
48,Electric!,Light up the area with some redstone lamps,Building,Chartreuse!,Place a redstone lamp,-,
49,Bulbous!,Light up the area with a Copper Bulb!,Building,Electric!,Place any Copper Bulb,-,
50,Lighten Up,Scrape a Copper Bulb with an axe to make it brighter,Building,Bulbous!,"Use an axe on a Copper Bulb that is either waxed or exposed, weathered or oxidized",-,
51,Expensive!,Light up the area with some sea lanterns,Building,Electric!,Place a sea lantern,-,
52,Fluorescent!,Light up the area with some end rods,Building,Expensive!,Place an end rod,-,
53,Let There Be Light!,Hold a stack of every light-emitting block and item,Building,Fluorescent!,"Obtain a stack of:The following do not need to be obtained even though they emit light: Beacons, Conduits, Furnaces, Blast Furnaces, Smokers, Redstone Ore, Brewing Stands, 
Brown Mushrooms, Dragon Eggs, Sculk Sensors, Sculk Catalysts and any other light-emitting blocks not mentioned",-,
54,A Good Start,Chop down enough trees to collect a full stack of one log type,Building,Building,,-,
55,Barking Mad,Craft a bark block,Building,A Good Start,"Obtain a ""wood"" or ""hyphae"" block of any kind",-,
56,Lost Its Bark,Strip a bark block of its bark,Building,Barking Mad,Strip a wood or hyphae block using an axe,-,
57,Professor Oak,Craft every item made out of oak wood,Building,Lost Its Bark,See requirement notes below,-,
58,Spruce Lee,Craft every item made out of spruce wood,Building,Professor Oak,See requirement notes below,-,
59,Professor Birch,Craft every item made out of birch wood,Building,Spruce Lee,See requirement notes below,-,
60,The Jungler,Craft every item made out of jungle wood,Building,Professor Birch,See requirement notes below,-,
61,Bamboozled,Craft every item made out of bamboo wood,Building,The Jungler,Obtain the following items:,-,
62,Mangrove Master,Craft every item made out of mangrove wood,Building,Bamboozled,See requirement notes below,-,
63,The Acacia King,Craft every item made out of acacia wood,Building,Professor Birch,See requirement notes below,-,
64,Professor Dark Oak,Craft every item made out of dark oak wood,Building,The Acacia King,See requirement notes below,-,
65,Pale Gardener,Craft every item made out of pale oak wood,Building,Professor Dark Oak,See requirement notes below,-,
66,Cherry Bomb,Craft every item made out of cherry wood,Building,Pale Gardener,See requirement notes below,-,
67,Yay! I got my wood!,Collect every type of log and stem,Building,Lost Its Bark,Obtain every type of log and stem. See types below,-,
68,Stripper,"Strip the bark off every type of log, stem, and bamboo block",Building,Yay! I got my wood!,Strip every type of log and stem. See types below,-,
69,Master Logger,Cut down a full stack of logs and stems of all types,Building,Stripper,Obtain 64 of every type of log and stem. See types below,-,
70,I don't like sand,"It's coarse, and rough, and irritating, and it gets everywhere",Building,Building,Obtain sand,-,
71,Pathways,Use a shovel to create dirt paths,Building,I don't like sand,Right-click a grass block using any shovel,-,
72,Grass Type,Obtain every type of grass block in your inventory,Building,Pathways,"Obtain grass block, podzol, mycelium, crimson nylium, and warped nylium",-,
73,Skyblock,Place a Grass Block high in the sky,Building,Grass Type,Place a grass block at y-level 280 or higher in the Overworld,-,
74,Classy Glassy,Smelt sand in a furnace to get glass,Building,I don't like sand,Obtain a glass block,-,
75,What a pane,Craft some glass panes,Building,Classy Glassy,,-,
76,Translucence,Craft all 16 colors of stained glass,Building,What a pane,,-,
77,Pane in the Glass,Craft a stack of all 16 colors of stained glass panes,Building,Translucence,,-,
78,Stuck in the Mud,Use a Water Bottle on some Dirt to turn it into Mud,Building,Classy Glassy,,-,
79,Elmer Mudd,Craft or obtain all forms of Mud and Mud Brick,Building,Stuck in the Mud,"Obtain Mud, Packed Mud, Muddy Mangrove Roots, Mud Brick blocks, slabs, stairs and walls",-,
80,Rainbow Sand,"Craft concrete powder using sand, gravel and dye",Building,I don't like sand,Obtain any color of concrete powder,-,
81,Concrete Evidence,Create concrete from concrete powder by dropping it into water,Building,Rainbow Sand,Obtain any color of concrete,-,
82,The Rainbow You Always Wanted,Craft all 16 colors of concrete,Building,Concrete Evidence,,-,
83,Clay-Dough!,Dig up some clay from a lake,Building,I don't like sand,Obtain clay,-,
84,Bricks!,Fire up that clay!,Building,Clay-Dough!,Obtain a brick block,-,
85,Pot Planter,Craft and place a flower pot,Building,Bricks!,,-,
86,Harry Potter,Place every type of plant in a flower pot,Building,Pot Planter,Place the following in a flower pot:,-,
