,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Enchanting,Enchant items to give them magical abilities,Enchanting,,Enchant an item at an enchanting table,-,
1,Librarian,Build some bookshelves for your enchanting table,Enchanting,Enchanting,Obtain a bookshelf,-,
2,Magical Stockpile,Obtain a full stack of bottles of enchanting,Enchanting,Librarian,,-,
3,Bow down to me!,Obtain Power V,Enchanting,Librarian,Obtain Power V on any item (Bow or Enchanted Book),-,
4,To Infinity And Beyond!,Obtain Infinity on a bow,Enchanting,Bow down to me!,,-,
5,Super Efficient,Obtain Efficiency V,Enchanting,Librarian,Obtain Efficiency V on any item,-,
6,Fortunate Son,Obtain Fortune III,Enchanting,Super Efficient,Obtain Fortune III on any item,-,
7,Pick Like Silk,Use a Silk Touch enchanted pickaxe to obtain diamond ore as a block,Enchanting,Fortunate Son,Obtain Diamond Ore or Deepslate Diamond Ore,-,
8,Needle Sharp,Obtain Sharpness V,Enchanting,Librarian,,-,
9,Undead Slayer,Obtain Smite V,Enchanting,Needle Sharp,,-,
10,Bane of one-shotting spiders,Obtain Bane of Arthropods V,Enchanting,Undead Slayer,,-,
11,Newton's Flaming Laser Sword,Have a diamond sword with Fire Aspect II,Enchanting,Bane of one-shotting spiders,,-,
12,A rather pointy fence post,"Enchant a wooden sword with Sharpness V. Not really the best weapon, but it could be a minor annoyance to someone",Enchanting,Newton's Flaming Laser Sword,,-,
13,Overkill,Deal eight hearts of damage in a single melee blow without using a Mace,Enchanting,Needle Sharp,Deal at least eight hearts of damage with any melee attack,-,
14,Over-Overkill,Deal sixteen hearts of damage in a single melee blow without using a Mace,Enchanting,Overkill,Deal at least sixteen hearts of damage with any melee attack,-,
15,Machine Bow,Fire a crossbow as rapidly as possible,Enchanting,Librarian,Shoot a crossbow with Quick Charge III,-,
16,Shotbow,Shoot three arrows at once with a crossbow,Enchanting,Machine Bow,Shoot a crossbow with Multishot,-,
17,Arbalistic,Kill five unique mobs with one crossbow shot,Enchanting,Shotbow,,-,
18,Oh baby a triple!,Kill three mobs at the same time using a Multishot Crossbow from at least 30 blocks away,Enchanting,Arbalistic,,-,
19,Boomerang,Turn your trident into a boomerang by getting Loyalty on it,Enchanting,Librarian,,-,
20,Do A Barrel Roll!,Use Riptide to give yourself a boost,Enchanting,Boomerang,Use a Riptide-enchanted trident while in water or rain,-,
21,Zeus,Obtain Channeling on a trident,Enchanting,Do A Barrel Roll!,,-,
22,Very Very Frightening,Strike a Villager with lightning,Enchanting,Zeus,,-,
23,Mace Windu,Obtain the Wind Burst enchantment on a Mace,Enchanting,Librarian,,-,
24,Whack-a-mole,"Using a Mace enchanted with Wind Burst, hit eight Armadillos consecutively without touching the ground",Enchanting,Mace Windu,,-,
25,Like a Cat,Obtain boots enchanted with Feather Falling,Enchanting,Enchanting,,-,
26,Echidna,Obtain Thorns III on a piece of armour,Enchanting,Like a Cat,,-,
27,Armor for the masses,Obtain every protection related enchantment,Enchanting,Echidna,"Obtain the following enchantments on any items: Protection, Fire Protection, Blast Protection and Projectile Protection",-,"Once known as ""Armor for the massess"" on the spreadsheet"
28,Knocking Your Socks Off,Obtain Knockback and Punch enchantments,Enchanting,Armor for the masses,Obtain Knockback and Punch on any non-book item(s),-,
29,Scuba Gear,Obtain every water related enchantment,Enchanting,Knocking Your Socks Off,"Obtain Respiration, Aqua Affinity and Depth Strider on any non-book item(s)",-,
30,Fiery,Obtain every fire related enchantment,Enchanting,Scuba Gear,"Obtain Fire Protection, Fire Aspect and Flame on any non-book item(s)",-,
31,Like a Ninja,Find the Swift Sneak enchantment on an Enchanted Book in an Ancient City,Enchanting,Fiery,Obtain an Enchanted Book with Swift Sneak on it,-,
32,Silent But Deadly,Sneak and sprint on sculk with Speed II while wearing Swift Sneak III leggings. Try saying that six times swiftly,Enchanting,Like a Ninja,,-,
33,Gotta Go Fast!,Obtain the Soul Speed enchantment from a Bastion or bartering with Piglins,Enchanting,Fiery,Obtain Soul Speed on either boots or an Enchanted Book,-,
