,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,The End,Or the beginning?,End,,Be in the End dimension,-,
1,Is it a Plane?,Look at the Ender Dragon through a Spyglass,End,The End,,-,
2,Why do I hear boss music?,Play a Music Disc while fighting the Ender Dragon,End,The End,Put a Music Disc in a Jukebox while there is an Ender Dragon up to 150 blocks away,-,
3,Dragon Shield,Attempt to block the dragon's attacks,End,The End,Block an attack from the Ender Dragon with your shield,-,
4,Free the End,Good luck,End,Dragon Shield,Land the killing blow on the Ender Dragon,-,
5,The Actual End,Get killed by an Enderman in The End,End,Free the End,,-,
6,The Point of No Return,Fall into the void,End,The Actual End,Be under y=0 in the End dimension,-,
7,Event Horizon,Survive void damage,End,The Point of No Return,Fly under y=-64 for about a second then get up above y=0 without dying. Only works in the End,-,
8,Cow Jumped Over The Moon,Bring a cow from the Overworld to the End and then kill it,End,The Point of No Return,Kill a Cow in the End,-,
9,The Void Frogs,"Lower a Frog into the void using a Slow Falling potion, then kill it so it becomes one with the void",End,Cow Jumped Over The Moon,Kill a Frog that has the Slow Falling effect and is below y=0 in the End,-,
10,The Next Generation,Hold the Dragon Egg,End,Free the End,Obtain the Dragon Egg,-,
11,The Start of Something,Craft your first ender crystal,End,The Next Generation,Obtain an End Crystal,-,
12,The End... Again,Respawn the Ender Dragon,End,The Start of Something,,-,
13,What For?,Craft 64 ender crystals,End,The End... Again,,-,
14,Ring of the End,Defeat the Ender Dragon 20 times,End,What For?,Land the killing blow on the Ender Dragon 20 times,-,
15,The Beginning,Say goodbye to the Wither...,End,The End... Again,Kill the Wither in the End,-,
16,Remote Getaway,Escape the island,End,Free the End,Enter an End Gateway OR be beyond 750 or -750 in the x or z direction in the End,-,
17,End Bricks!,Craft end bricks from end stone,End,Remote Getaway,Obtain End Stone Bricks,-,
18,Getting Chorus,Attack a chorus tree until it collapses,End,End Bricks!,Obtain Chorus Fruit,-,
19,Extrabiologist,Plant a chorus plant in the overworld for study,End,Getting Chorus,Place a chorus flower in the Overworld,-,
20,Purpurfect!,"Craft or collect purpur blocks, slabs, pillars and stairs",End,Extrabiologist,,-,
21,A Wizard’s Breakfast,Eat a stack of Chorus Fruit in one go,End,Purpurfect!,Eat 64 chorus fruit with less than five seconds in-between each fruit and no other food eaten,-,
22,"In Your Face, Neil Armstrong",Colonise the End with potato crops,End,Extrabiologist,Place potatoes in the End,-,
23,"I'm Coming Back, Murph!",Travel far into the End dimension,End,"In Your Face, Neil Armstrong","Be beyond 10,000 or -10,000 in the x or z direction in the End",-,
24,"No! Don't let me leave, Murph!",Travel so far into the End dimension you might as well be on another planet,End,"I'm Coming Back, Murph!","Be beyond 100,000 or -100,000 in the x or z direction in the End",-,
25,Void Walker,Explore every end biome,End,Remote Getaway,"Enter The End, Small End Islands, End Midlands, End Highlands and End Barrens",-,
26,Unending Hell,Travel directly from the End to the Nether,End,Void Walker,Enter the End's exit portal but arrive in the Nether by having your spawn set to a Respawn Anchor,-,
27,Dimension Penetration,Get hit by an arrow that has visited every dimension during its lifetime,End,Unending Hell,,-,
28,The City at the End of the Game,"Go on in, what could happen?",End,Remote Getaway,Enter an End City,-,
29,"For Mother, Clarence",Kill a shulker,End,The City at the End of the Game,,-,
30,Portable Storage,Use shulker shells to craft a shulker box,End,"For Mother, Clarence",Obtain a shulker box of any color,-,
31,Organizational Wizard,Name a Shulker Box 'Blocks' for storing your blocks,End,Portable Storage,"Obtain a shulker box of any color that is named ""Blocks""",-,
32,Somewhere Over The Rainbow...,Craft all 16 shulker box types,End,Organizational Wizard,,-,
33,Shouldn't my shield levitate too?,Block a Shulker's bullet with your shield,End,"For Mother, Clarence",,-,
34,Unstoppable Force vs Immovable Object,Hit a Shulker with a thrown Wind Charge,End,Shouldn't my shield levitate too?,,-,
35,You're doing it wrong,Kill a mob with a Mace while levitating upwards,End,Unstoppable Force vs Immovable Object,Kill a mob while you are holding a Mace and you have the Levitation effect,-,
36,Shulker Breaker,Collect a stack of shulker shells,End,Shouldn't my shield levitate too?,,-,
37,Great View From Up Here,Levitate up a distance of 50 metres,End,Shulker Breaker,,-,
38,Dogfight,Kill a Skeleton while both you and it have levitation,End,Great View From Up Here,"Kill a Skeleton, Stray, Bogged or Parched while both you and it have levitation",-,
39,Anti-Gravity Generator,Bring a shulker into the overworld and let it give you anti-gravity,End,Great View From Up Here,Get levitation in the Overworld,-,
40,Good Luck Getting This One,"Kill a baby Turtle, a Witch, a Phantom, an Elder Guardian and a Piglin Brute with one piercing arrow in The End",End,Anti-Gravity Generator,,true,
41,Off With His Head!,Collect a dragon's head from the bow of an end ship,End,The City at the End of the Game,Obtain a Dragon Head,-,
42,Dragon vs Dragon,Kill the Ender Dragon while wearing a Dragon Head,End,Off With His Head!,"Upon the Ender Dragon's summon be wearing a Dragon Head for the whole fight, and deal the killing blow",-,
43,Sky's the Limit,Find an Elytra,End,Off With His Head!,,-,
44,Some Breakthrough,Exhaust your elytra,End,Sky's the Limit,Use up an elytra,-,
45,Rocketman,Fill your inventory with full stacks of firework rockets,End,Some Breakthrough,"All inventory slots, including your hotbar and offhand, must be filled, hence requiring 37 stacks of rockets",-,
46,Sky High,Fly up beyond the world height limit,End,Sky's the Limit,Be above y=325,-,
47,"Uh, Houston? We have a problem",Fly up to a ridiculous height,End,Sky High,Be above y=1000,-,
48,Diver's Dozen,Kill 12 mobs while airborne using Elytra. Stopping flight or touching liquid will reset your progress,End,Sky High,,-,
