,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Mining,"Dig deep down, mine up ore",Mining,,Obtain a pickaxe,-,
1,Stone Age,Mine stone with your new pickaxe,Mining,Mining,"Obtain a block of cobblestone, stone, cobbled deepslate, deepslate, or blackstone",-,
2,Spelunker,Discover every cave biome,Mining,Stone Age,"Enter the following biomes: Lush Caves, Dripstone Caves and Deep Dark",-,Formerly required just entering cave_air below y-level 56 before 1.14 Alpha Build 1
3,I yearned for the mines,Spend five in-game days below y-level 32,Mining,Spelunker,This can only be obtained in the Overworld,-,
4,This Dirt is Dirtier,Dig through some Rooted Dirt beneath an Azalea Tree so you can find a Lush Cave,Mining,Stone Age,,-,
5,Leaflet Drop,Fall through a Big Dripleaf,Mining,This Dirt is Dirtier,Enter a big dripleaf block while its tilt is fully down,-,
6,A Shiny Treat,Eat some Glow Berries,Mining,Leaflet Drop,,-,
7,Particle Fan,Obtain a Spore Blossom,Mining,A Shiny Treat,,-,
8,Moss Maker,Use Bone Meal on Moss to spread its wonderful lushness across hard blocks of stone,Mining,This Dirt is Dirtier,Use Bone Meal on a Moss Block,-,
9,Iggy,Obtain an Azalea,Mining,Moss Maker,Obtain either an Azalea or a Flowering Azalea,-,
10,Lush Hour,Obtain a stack of all lush-related blocks,Mining,Iggy,Obtain a stack of:,-,
11,Heart of Darkness,Submerge yourself in complete darkness,Mining,Stone Age,Enter a block where the light level is 0,-,
12,My work here is done,Get caught in a cave-in of gravel,Mining,Heart of Darkness,Enter a block of gravel,-,
13,Nananananananana...,Accidentally hit a bat underground,Mining,My work here is done,,-,
14,Blind as a Bat,Kill a Bat while under the blindness or darkness effect,Mining,Nananananananana...,,-,
15,Pixel Perfect,Use a Spyglass to stare at a bat from at least 50 blocks away,Mining,Blind as a Bat,,-,
16,Meet The Flintstones,Dig up some flint from a patch of gravel,Mining,My work here is done,Obtain flint,-,
17,Strike a Light,Craft Flint and Steel and use it to light the ground on fire,Mining,Meet The Flintstones,,-,
18,Flint Miner,Mine a stack of flint,Mining,Strike a Light,,-,
19,Bonfire Night,Light every flammable block on fire,Mining,Flint Miner,A list of blocks can be found at: https://minecraft.wiki/w/Fire#Burning_blocks,-,
20,Dungeons and Spawners,Open a chest in a dungeon deep underground,Mining,Heart of Darkness,Open a Dungeon loot chest that has not been opened before,-,
21,This is Mine Now!,Find an abandoned mineshaft that was not dug out by you,Mining,Dungeons and Spawners,Enter an abandoned mineshaft,-,
22,Gold Mine!,Find a mineshaft on the surface of a mesa biome,Mining,This is Mine Now!,Enter an abandoned mineshaft above y=64 in any badlands biome,-,
23,Eeuuwww!,Get stuck in a cobweb,Mining,Gold Mine!,Enter a cobweb,-,
24,Steals on Wheels,Loot a minecart chest from an Abandoned Mineshaft,Mining,Eeuuwww!,Open a Mineshaft loot chest that has not been opened before,-,
25,Lichen Subscribe,Use shears to obtain Glow Lichen from an underground cave,Mining,Heart of Darkness,,-,
26,That's the point!,Obtain some Pointed Dripstone from a Dripstone Cave,Mining,Lichen Subscribe,,-,
27,Dripstone Drop,Survive a fall of at least 10 blocks onto some Pointed Dripstone,Mining,That's the point!,The pointed dripstone cannot be waterlogged,-,
28,Lucky Break,Survive a long fall with just a sliver of health remaining,Mining,Dripstone Drop,Fall at least 15 blocks and have 1 or 2 health remaining upon landing,-,
29,Caves & Cliffs,Free fall from the top of the world (build limit) to the bottom of the world and survive,Mining,Lucky Break,Drop from a point above y-level 319 and land below y-level -59,-,
