,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Potions,Brewing potions with helpful and hindering effects,Potions,,Take any potion out of a brewing stand,-,
1,Failed Concoctions,Brew a mundane and thick potion,Potions,Potions,Brew a mundane and thick potion in the brewing stand,-,
2,Death by Magic,Kill a mob with a splash potion,Potions,Potions,,-,
3,Performance-Enhancing Drugs,Brew a Speed Potion for cheating on athletics,Potions,Potions,Take a speed potion out of a brewing stand,-,
4,Super Strength,Brew a Strength Potion for cheating on weightlifting,Potions,Performance-Enhancing Drugs,Take a strength potion out of a brewing stand,-,
5,A Weak Brew,Brew up a potion of Weakness,Potions,Super Strength,Take a weakness potion out of a brewing stand,-,
6,Zombie Doctor,Cure a zombie villager,Potions,A Weak Brew,,-,
7,Mad Scientist,Cure a zombie villager of every profession,Potions,Zombie Doctor,,-,
8,Medic!,Brew a healing potion,Potions,Potions,Take a healing potion out of a brewing stand,-,"Known as ""I need healing!"" until 1.4"
9,Hyper-Healing,Brew and drink a regeneration potion,Potions,Medic!,,-,
10,Nocturnal,Brew and drink a night vision potion,Potions,Hyper-Healing,,-,
11,The Invisible Player,Brew and drink an invisibility potion,Potions,Nocturnal,,-,
12,Stealth Takedown,Dispatch a Creeper at melee range while you are invisible,Potions,The Invisible Player,Kill a Creeper that is less than 5 blocks away while you are invisible,-,
13,True Feather Falling,Brew and drink a slow falling potion,Potions,The Invisible Player,,-,
14,Tank,Become nearly invincible to all damage using a Turtle Master Potion,Potions,True Feather Falling,Drink a Potion of the Turtle Master,-,
15,Secret of the Ooze,Use a Slime Block to brew a Potion of Oozing,Potions,Potions,Take an oozing potion out of a brewing stand,-,
16,Final Shout,"Kill a mob that has the Wind Charged, Weaving and Oozing effects",Potions,Secret of the Ooze,,-,
17,You Need a Mint,Collect dragon's breath in a glass bottle,Potions,Potions,Obtain dragon's breath,-,
18,Noxious Fumes,Use dragon's breath to brew a lingering potion,Potions,You Need a Mint,Obtain a lingering potion,-,
19,Gas!,Kill a mob using a lingering potion,Potions,Noxious Fumes,,-,
20,Imbued Projectiles,Craft some Tipped Arrows using arrows and a Lingering Potion,Potions,Gas!,They must be crafted - not just obtained,-,
21,String Shot,Shoot a mob with an Arrow of Weaving,Potions,Imbued Projectiles,,-,
22,Furious Ammunition,Craft every type of tipped arrow,Potions,String Shot,Obtain Tipped Arrows of:,-,
23,Stayin' Frosty,Swim in lava while having the Fire Resistance effect,Potions,Potions,Be in lava while having the Fire Resistance effect,-,
24,Marine Marauder,Swim in water while having the Water Breathing effect,Potions,Stayin' Frosty,Be in water while having the Water Breathing effect,-,Prior to 1.11.2 you just needed to obtain a Water Breathing potion
25,Hopping Mad,Get jump boost from a beacon or a potion,Potions,Marine Marauder,Get the jump boost effect,-,
26,A Furious Cocktail,Have every potion effect applied at the same time,Potions,Hopping Mad,Have the following effects at the same time:,-,
27,A Much More Doable Challenge,Get all the effects possible during your life (not all at the same time),Potions,A Furious Cocktail,See requirement notes below,-,
28,A Furious Test Subject,Get attacked by a mob with every potion effect,Potions,A Furious Cocktail,"Get attacked by a mob with every effect listed next to ""A Furious Cocktail""
This will not work on undead enemies such as zombies and arthropods such as spiders because they are immune to poison",-,
29,Gas Bomb,Ignite a Creeper of each possible effect using Flint and Steel,Potions,A Furious Test Subject,Ignite Creepers using Flint and Steel that have the following effects:They do not have to have these effects at the same time,-,
