,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Statistics,"If your numbers go up, you're having more fun",Statistics,,Once you obtain diamonds OR enter the Nether OR enter the End,-,
1,Out for a stroll,Walk 10km,Statistics,Statistics,,-,
2,Who needs cars?,Walk 50km,Statistics,Out for a stroll,,-,
3,I enjoy long walks & playing MC,Walk 250km,Statistics,Who needs cars?,,-,
4,65,Walk 1000km. The statistics tab shall no longer be the grindy super challenges tab,Statistics,I enjoy long walks & playing MC,,true,
5,Natural Sprinter,Sprint 10km,Statistics,Statistics,,-,"Changed from ""Did you just run across Earth?"" in 1.13 Alpha Build 1"
6,Marathon,Sprint 42.195km,Statistics,Natural Sprinter,,-,
7,Your legs must be tired,Sprint 250km,Statistics,Marathon,,-,
8,Spring in your step,Jump 1000 times,Statistics,Statistics,,-,
9,"Boing, Boing","Jump 10,000 times",Statistics,Spring in your step,,-,
10,Jumping Jacks,"Jump 100,000 times",Statistics,"Boing, Boing",,-,
11,Sneaky Snitch,Sneak 100m,Statistics,Statistics,,-,
12,Black Belt Ninja,Sneak 1km,Statistics,Sneaky Snitch,,-,
13,Ancient Kung Fu Master,Sneak 10km,Statistics,Black Belt Ninja,,-,
14,Laps in the pool,Swim 1km,Statistics,Statistics,"""Swim"" is defined as sprint-swimming",-,
15,Olympic Athlete,Swim 10km,Statistics,Laps in the pool,,-,
16,Olympic Gold Medallist,Swim 50km,Statistics,Olympic Athlete,,-,
17,Minecart Rider,Ride 1km in a minecart,Statistics,Statistics,,-,
18,I Like Trains,Ride 10km in a minecart,Statistics,Minecart Rider,,-,
19,Global Railway Network,Ride 50km in a minecart,Statistics,I Like Trains,,-,
20,Pig Training,Ride 100m on a pig,Statistics,Statistics,,-,
21,Snout 500,Ride 1km on a pig,Statistics,Pig Training,,-,
22,Lightning McPig,Ride 10km on a pig,Statistics,Snout 500,,-,
23,Horse Training,Ride 1km on a horse,Statistics,Statistics,,-,
24,Sheriff Firearm,Ride 10km on a horse,Statistics,Horse Training,,-,
25,Scourge of the West,Ride 50km on a horse,Statistics,Sheriff Firearm,,-,
26,Luxury Cruise,Sail 1km in a boat,Statistics,Statistics,,-,
27,Pirate Captain,Sail 10km in a boat,Statistics,Luxury Cruise,,-,
28,Sailor of the Seven Seas,Sail 50km in a boat,Statistics,Pirate Captain,,-,
29,Taking It In Stride,Ride 100m on a Strider,Statistics,Statistics,,-,
30,Who Needs Boats?,Ride 1km on a Strider,Statistics,Taking It In Stride,,-,
31,"This Ride Is Lit, Yo!",Ride 10km on a Strider,Statistics,Who Needs Boats?,,-,
32,Test Flight,Ride 100m on a Happy Ghast,Statistics,Statistics,,-,
33,Who Needs Elytra?,Ride 1km on a Happy Ghast,Statistics,Test Flight,,-,
34,Big Blimp Enthusiast,Ride 10km on a Happy Ghast,Statistics,Who Needs Elytra?,,-,
35,Take to the Skies,Fly 10km with elytra,Statistics,Statistics,,-,
36,Supersonic,Fly 100km with elytra,Statistics,Take to the Skies,,-,
37,Frequent Flyer,Fly 1000km with elytra,Statistics,Supersonic,,-,
38,Mob Hunter,Defeat 250 mobs,Statistics,Statistics,,-,
39,Bloodthirsty,Defeat 2500 mobs,Statistics,Mob Hunter,,-,
40,Kill or be Killed,"Defeat 25,000 mobs",Statistics,Bloodthirsty,,-,
41,The Parrots and the Bats,Breed 100 animals,Statistics,Statistics,,-,
42,Cupid,Breed 500 animals,Statistics,The Parrots and the Bats,,-,
43,Two By Two,Breed 2500 animals,Statistics,Cupid,,-,
44,Om Nom Nom,Eat 200 food items,Statistics,Statistics,"Milk, Potions and Water Bottles do not increment this number",-,
45,Yum Yum Yummo,Eat 1000 food items,Statistics,Om Nom Nom,,-,
46,"Food, Glorious Food!",Eat 5000 food items,Statistics,Yum Yum Yummo,,-,
47,The Haggler,Trade with villagers 100 times,Statistics,Statistics,,-,
48,Big Spender,Trade with villagers 500 times,Statistics,The Haggler,,-,
49,STONKS!,Trade with villagers 2500 times,Statistics,Big Spender,,-,
50,Loot 'em!,Open 10 loot chests,Statistics,Statistics,This number is incremented when you generate a container's loot by opening it,-,
51,More For Me,Open 100 loot chests,Statistics,Loot 'em!,"In other words, when you open a loot chest that has never been opened before",-,
52,I <3 Chests,Open 500 loot chests,Statistics,More For Me,,-,
53,Novice Enchanter,Enchant 10 items,Statistics,Statistics,,-,
54,Journeyman Enchanter,Enchant 50 items,Statistics,Novice Enchanter,,-,
55,Elderly Enchanter,Enchant 250 items,Statistics,Journeyman Enchanter,,-,
56,Level Up,Reach 30 experience levels,Statistics,Statistics,,-,
57,Overlevelling,Reach 100 experience levels,Statistics,Level Up,,-,
58,XP Grinder,Reach 300 experience levels,Statistics,Overlevelling,,-,
59,Giga XP Grinder,Reach 1000 experience levels,Statistics,XP Grinder,,true,
60,The First Night,Survive the first night in your brand new world,Statistics,Statistics,Be in the world at sunrise,-,
61,Passing the Time,Play for 100 days,Statistics,The First Night,"100 Minecraft days, not real-life days.",-,
62,Happy New Year!,Play for a whole Minecraft year,Statistics,Passing the Time,A new day is added to all online players' score at sunrise,-,"Known as ""Happy Birthday!"" until 1.11.2"
