,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Super Challenges,Good luck completing... any of these ;),Super Challenges,,"Land the killing blow on the Ender Dragon OR leave the End through the exit portal OR obtain the ""Remote Getaway"" OR ""Sky's the Limit"" advancements",-,
1,All the Blocks!,Obtain all the blocks!,Super Challenges,Super Challenges,Obtain the blocks listed on this page: https://minecraft.wiki/w/Block#List_of_blocks,-,
2,All the Items!,Obtain all the items!,Super Challenges,All the Blocks!,Obtain the items listed on this page: https://minecraft.wiki/w/Item#List_of_items,-,
3,Stack All the Blocks!,Obtain a stack of all the blocks!,Super Challenges,All the Items!,"Obtain a stack of the blocks listed on this page: https://minecraft.wiki/w/Block#List_of_blocksThe following do not need to be obtained at maximum stack sizes: Dragon Egg, Netherite Block, Deepslate Emerald Ore, Heavy Core, Suspicious Sand, Suspicious Gravel, Tall Grass, Large Fern",-,
4,Stack All the Items!,Obtain a stack of all the items!,Super Challenges,Stack All the Blocks!,"Obtain a stack of the items listed on this page: https://minecraft.wiki/w/Item#List_of_itemsThe following do not need to be obtained at maximum stack sizes: Recovery Compass, Pottery Sherds. Only one kind of Smithing Template is required",-,
5,Telescopic,"Look at every mob using a Spyglass, each from at least 25 blocks away",Super Challenges,Super Challenges,See requirement notes below,-,
6,Highway to Hell,Send every mob to the Nether... and kill them all there,Super Challenges,Telescopic,See requirement notes below,-,
7,Endergeddon,Send every mob to the End... and kill them all there,Super Challenges,Highway to Hell,See requirement notes below,-,
8,Potion Master,Kill every mob in the game with splash potions,Super Challenges,Endergeddon,See requirement notes below,-,
9,Biological Warfare,Kill every mob in the game with lingering potions,Super Challenges,Potion Master,See requirement notes below,-,
10,Nuclear Fusion,Strike every mob that can transform with lightning at once,Super Challenges,Super Challenges,"Strike a Pig, Mooshroom, Villager and Creeper at the same time with the lightning bolt from a Channeling Trident",-,
11,Zombie Apocalypse,Obtain a stack of Zombie Heads,Super Challenges,Nuclear Fusion,,-,
12,Rise of the Skeletons,Obtain a stack of Skeleton Skulls,Super Challenges,Zombie Apocalypse,,-,
13,Creepergeddon,Obtain a stack of Creeper Heads,Super Challenges,Rise of the Skeletons,,-,
14,Poglin!,Obtain a stack of Piglin Heads,Super Challenges,Creepergeddon,,-,
15,Dragon Army,Obtain a stack of Ender Dragon Heads,Super Challenges,Poglin!,,-,
16,Let's take it up a notch,Collect 64 Enchanted Golden Apples,Super Challenges,Super Challenges,,-,
17,Constellation,Collect 64 nether stars,Super Challenges,Let's take it up a notch,,-,
18,Warlock,Obtain a stack of Beacons,Super Challenges,Constellation,,-,
19,Hearts of the Stack,Collect 64 Hearts of the Sea,Super Challenges,Warlock,,-,
20,Abyss Lord,Obtain a stack of Conduits,Super Challenges,Hearts of the Stack,,-,
21,We're in the endgame now,Construct a village in the End and defend it from a raid,Super Challenges,Super Challenges,You have to both start a raid in the End and finish a raid in the End to gain this advancement,-,
22,Dragon vs Dragon II: Electric Boogaloo,Defeat the Ender Dragon while wearing a dragon head... without touching the ground,Super Challenges,We're in the endgame now,"Once the Ender Dragon becomes attackable you must not be touching the ground AND be wearing a Dragon Head for the whole fight, and deal the killing blow. It also resets if you ride any vehicle OR touch water or lava",-,"Known as ""Dragon vs Dragon II: Electric Boogaloo"" from introduction until 1.9, then renamed to ""Dragon vs Dragon II"", then changed back to ""Dragon vs Dragon II: Electric Boogaloo"" in 1.19 Alpha Build 1"
23,Dragon vs Wither: The Pre-Sequel,Defeat the Wither while wearing a Dragon head... without touching the ground,Super Challenges,Dragon vs Dragon II: Electric Boogaloo,"Once the Wither becomes attackable you must not be touching the ground AND be wearing a Dragon Head for the whole fight, and deal the killing blow. It also resets if you ride any vehicle OR touch water, lava or a climbable block such as ladders",-,"Known as ""Dragon vs Dragon: Pre-Sequel"" (without the ""The"") until 1.19 Alpha Build 1"
24,At the Rim of the Sky,Slay the Ender Dragon in one hit using a Mace,Super Challenges,Dragon vs Wither: The Pre-Sequel,Deal over 200 hearts of damage to the Ender Dragon using a Mace (it does not have to have been on full health prior to the attack),-,
25,The Perfect Run,"Summon the Ender Dragon, the Wither, and a Raid within thirty seconds of each other, then defeat all of them without taking damage",Super Challenges,At the Rim of the Sky,,-,
26,Riddle Me This,See below for description and walkthrough (as it is very long),Super Challenges,The Perfect Run,The first is to smith a compass that vanishes,-,This was the 1000th advancement added to the datapack
27,I am Loot!,Open up every type of loot chest,Super Challenges,Super Challenges,Open the following loot chests when they have been unopened:,-,
28,The World Is Ending,Summon ten withers at once,Super Challenges,I am Loot!,At least ten withers must be in existence up to 128 blocks away from you (checked once every ten seconds),-,
29,Overwarden,Have fifty Wardens present within 100 blocks of you,Super Challenges,The World Is Ending,,-,
30,Immortal,Fill your entire inventory with Totems of Undying,Super Challenges,Overwarden,"All inventory slots, including your hotbar and offhand, must be filled, hence requiring 37 totems of undying",-,
31,Death From All,Get killed by every mob that can kill you,Super Challenges,Immortal,"Get killed by all of the following mobs: Pufferfish, Cave Spider, Enderman, Panda, Polar Bear, Spider, Zombie Pigman, Blaze, Creeper, Drowned, Elder Guardian, 
Endermite, Evoker, Ghast, Guardian, Husk, Magma Cube, Phantom, Pillager, Ravager, Shulker, Silverfish, Skeleton, Slime, Stray, Vex, Vindicator, Witch, Wither Skeleton, 
Zombie Villager, Zombie, Llama, Trader Llama, Wolf, Dolphin, Iron Golem, Ender Dragon, Wither, Bee, Hoglin, Piglin, Zoglin, Piglin Brute, Goat, Warden, Breeze, Bogged, Creaking,
Nautilus, Zombie Nautilus, Parched",-,
32,Ultimate Enchanter,Obtain every enchantment at every level throughout your enchanting career,Super Challenges,Super Challenges,Obtain the following enchantments on any items at every level up to and including their max:,-,
33,Stockbroker,Trade with every profession from every biome type,Super Challenges,Ultimate Enchanter,"Trade with Villagers of every combination of profession and biome.
Professions:Biomes:",-,
34,Global Vaccination,Cure a zombie villager of every profession... from every biome,Super Challenges,Stockbroker,"Cure Villagers of every combination of profession and biome.
The same as in ""Stockbroker"", with the additional professions of: Unemployed, Nitwit",-,
35,How Did We Get Here?,Have every effect applied at the same time,Super Challenges,Global Vaccination,Have the following effects at the same time:,-,
36,Ad Astra,"Reach an altitude of 10,000 blocks above the world",Super Challenges,Super Challenges,"Be above y=10,000",-,"Known as ""Astronaut"" until 1.10 Beta Build 2"
37,I'm in Space!,Levitate up a distance of 256 blocks,Super Challenges,Ad Astra,,-,
38,The Devil's Distance,Use the Nether to travel 666km in the Overworld,Super Challenges,Explorer of Worlds,,-,
39,A Million Blocks Away,Travel a million blocks away from spawn,Super Challenges,The Devil's Distance,,-,
40,Explorer of Worlds,Discover every biome in every dimension,Super Challenges,I'm in Space!,Enter every biome required for:,-,
41,Farlander,Travel all the way to the border of the world,Super Challenges,A Million Blocks Away,"Be at least 29,999,983 blocks from 0,0 in either the positive or negative x or z direction",true,
