,Advancement Name,Description,Tab,Parent,Actual Requirements,Hidden?,Notes
0,Weaponry,Weapons of choice for combat,Weaponry,,"Obtain a wood, stone, iron, gold or diamond sword",-,
1,Take Aim,Shoot something with a bow and arrow,Weaponry,Weaponry,Shoot something with an arrow or spectral arrow,-,
2,That is so fletch!,Craft a fletching table,Weaponry,Take Aim,Obtain a fletching table,-,
3,Point Blank,Shoot a mob from point-blank range,Weaponry,Take Aim,Shoot a mob with an arrow from less than 2 blocks away,-,
4,Bow Spammer,Attack a mob by bow-spamming,Weaponry,Point Blank,Deal less than 1 damage with an arrow,-,
5,Sniper Duel,Kill a skeleton with an arrow from more than 50 meters,Weaponry,Bow Spammer,"Kill a Skeleton, Stray, Bogged or Parched with an arrow from at least 50 metres",-,
6,The Mighty Hunter,Hunt all types of land animals with your bow,Weaponry,Sniper Duel,Kill all of the following mobs using any kind of arrows: ,-,
7,There it goes…,Kill a mob at the bottom of the world from the build limit using any kind of projectile,Weaponry,Sniper Duel,"Using any projectile, kill a mob at y-level -59.5 or lower while you are at y-level 319 or higher (in the Overworld) or y-level 255 or higher (in the Nether or End)",-,
8,X-Bow,"Craft a crossbow using stick, spider string, iron and a hook",Weaponry,Weaponry,Obtain a crossbow,-,
9,Ol' Betsy,Shoot a crossbow,Weaponry,X-Bow,,-,
10,Who's the Pillager Now?,Give a Pillager a taste of their own medicine,Weaponry,Ol' Betsy,Kill a Pillager with a crossbow,-,
11,Artillery,Have nine loaded crossbows in your hotbar. All set!,Weaponry,Who's the Pillager Now?,,-,
12,Fireworks Display,Use gunpowder and paper to craft fireworks,Weaponry,Who's the Pillager Now?,Obtain a firework rocket,-,
13,Pyrotechnic,Craft a firework of every shape and additional effect,Weaponry,Fireworks Display,Obtain firework rockets with the following:These shapes and effects can be on separate rockets,-,
14,Explosive Fire,Load your crossbow with a firework,Weaponry,Fireworks Display,,-,
15,My eyes!,Kill a mob using a firework's explosion,Weaponry,Explosive Fire,,-,
16,Who ya gonna call?,Kill a ghast using a firework's explosion,Weaponry,My eyes!,,-,
17,Mob Kabob,Hit five mobs in the same Charge attack using a Spear,Weaponry,Weaponry,,-,
18,Sir Knight,Use planks and iron to craft a shield,Weaponry,Weaponry,Obtain a shield,-,
19,Shield Luck,Protect yourself from an enemy's attack with your shield,Weaponry,Sir Knight,Block an enemy's attack,-,
20,Flying Colors,Apply a banner to your shield,Weaponry,Shield Luck,Obtain a shield with any banner,-,
21,Master Shieldsman,Deflect an attack from every hostile monster,Weaponry,Flying Colors,"Block an attack from every mob listed next to ""Monster Hunter"" in the Monsters tab
The following cannot be blocked and are hence not required: Elder Guardian, Guardian, Witch, Evoker, Zombie Horse, Skeleton Horse, Camel Husk",-,
22,Viking,Attack a mob using an axe,Weaponry,Weaponry,,-,
23,Axeman,Attack mobs using every kind of axe,Weaponry,Viking,,-,
24,Shovel Knight,Hit mobs using every kind of shovel,Weaponry,Axeman,,-,
25,Spleaf,Kill a mob using a shovel while both of you are standing on a Big Dripleaf,Weaponry,Shovel Knight,,-,
26,Multiclassed,Hit a mob with every type of weapon,Weaponry,Shovel Knight,Hit a mob using the following items:,-,
27,A Throwaway Joke,Throw a trident at something. Note: Throwing away your only weapon is not a good idea,Weaponry,Weaponry,Throw a trident such that it hits a mob,-,
28,King of the Sea,Kill a drowned using a trident from at least 30 metres,Weaponry,A Throwaway Joke,,-,"Formerly known as ""Underwater Duel"" until 1.6"
29,The Aquatic Hunter,Hunt all types of aquatic creatures with your trident,Weaponry,King of the Sea,Kill all of the following mobs using a thrown trident:An Elder Guardian is not required to be killed,-,
30,Poseidon vs. Hades,Hunt all types of nether creatures with your trident,Weaponry,King of the Sea,See requirement notes below,-,
31,Nice to Mace You!,"Craft a Mace using a Breeze Rod and a Heavy Core, then do a smash attack by hitting a mob after falling",Weaponry,Weaponry,,-,
32,Meteor Strike,Deal 50 hearts of damage in a single hit using the Mace,Weaponry,Nice to Mace You!,,-,
33,Warden Extinction,Deal 250 hearts of damage in a single hit using the Mace… to one-shot a Warden,Weaponry,Meteor Strike,At least 250 hearts of damage must be dealt to a Warden,-,
34,Bombs Away!,Use gunpowder and sand to craft TNT,Weaponry,Weaponry,Obtain TNT,-,
35,Revenge!,Blow up a creeper with TNT,Weaponry,Bombs Away!,Kill a creeper with a TNT's explosion (best to be hand-lit),-,
36,Demolitions Expert,Blow up every hostile mob with TNT,Weaponry,Revenge!,"Kill all of the mobs listed next to ""Monster Hunter"" in the Monsters tab using the explosion from TNT lit by either Flint and Steel, a Fire Charge or a Flaming Arrow
Elder Guardian, Wither and Ender Dragon are not required to be killed",-,
37,Pig Fishing Tournament,Pull a pig using a fishing rod,Weaponry,Weaponry,Hook a pig with a fishing rod and reel in with it,-,
38,Indiana Jones,Pull a monster using a fishing rod,Weaponry,Pig Fishing Tournament,"Works with the same mobs as ""Monster Hunter""",-,
39,When Pigs Finally Fly,Pull a pig from 25 blocks below you and watch it go,Weaponry,Indiana Jones,Pull a pig from at least 25 blocks away,-,
40,Snowball Fight,The spirit of Christmas... quickly drowned out by a battle,Weaponry,Weaponry,Hit a mob with a thrown snowball,-,
41,A snowball's chance in hell,Defeat a Blaze using snowballs,Weaponry,Snowball Fight,Kill a blaze with a thrown snowball,-,
42,Backfire,Kill a Blaze using a Blaze Rod while both you and it are on fire,Weaponry,A snowball's chance in hell,,-,
43,"Egging, Dude!",Vandalise something with eggs,Weaponry,Weaponry,Hit a mob with a thrown egg,-,
44,There's yolk on my head,Catapult an egg onto a zombie's head,Weaponry,"Egging, Dude!",Hit a zombie (or any zombie variant) with a thrown egg,-,
45,Expelliarmus!,Hit a mob with a stick,Weaponry,Weaponry,,-,
46,Slapfish,Slap a mob across the face with a fish,Weaponry,Expelliarmus!,,-,
47,Diemonds!,Hit a mob with diamonds,Weaponry,Slapfish,,-,"Was named ""Diamonds to you!"" until 1.11 Beta Build 1, when it became possible to code the actual achievement this was named after and this one had to be renamed"
48,Inspector Gadget,Kill a zombie while holding a spyglass,Weaponry,Diemonds!,,-,
49,"Rock, Paper, Shears!","Beat a zombie at rock, paper, shears",Weaponry,Inspector Gadget,"Kill a zombie that is one of the following:
- Holding cobblestone while you are holding paper 
- Holding shears while you are holding cobblestone 
- Holding paper while you are holding shears",-,
50,It's time consuming,Kill something using a clock,Weaponry,Diemonds!,,-,
51,Loser!,Die twice within ten seconds,Weaponry,It's time consuming,Die when the last time you died was less than 10 seconds ago,-,
52,Half Heart Life,Be on half a heart of health for a minute,Weaponry,Loser!,,-,
